PuttLength,Exp_Putts
0,0
1,1.001
2,1.009
3,1.053
4,1.147
5,1.256
6,1.357
7,1.443
8,1.515
9,1.575
10,1.626
11,1.669
12,1.705
13,1.737
14,1.765
15,1.79
16,1.811
17,1.83
18,1.848
19,1.863
20,1.878
21,1.891
22,1.903
23,1.914
24,1.924
25,1.934
26,1.944
27,1.953
28,1.961
29,1.97
30,1.978
31,1.986
32,1.994
33,2.001
34,2.009
35,2.016
36,2.024
37,2.032
38,2.039
39,2.047
40,2.055
41,2.062
42,2.07
43,2.078
44,2.086
45,2.094
46,2.102
47,2.11
48,2.118
49,2.127
50,2.135
51,2.143
52,2.152
53,2.16
54,2.168
55,2.177
56,2.185
57,2.193
58,2.202
59,2.21
60,2.218
61,2.226
62,2.234
63,2.242
64,2.25
65,2.257
66,2.265
67,2.272
68,2.279
69,2.286
70,2.293
71,2.299
72,2.306
73,2.312
74,2.318
75,2.324
76,2.329
77,2.334
78,2.339
79,2.344
80,2.349
81,2.353
82,2.357
83,2.361
84,2.364
85,2.367
86,2.37
87,2.373
88,2.375
89,2.377
90,2.379
91,2.381
92,2.382
93,2.383
94,2.384
95,2.384
96,2.384
97,2.384
98,2.384
99,2.384
100,2.384
101,2.384
102,2.384
103,2.384
104,2.384
105,2.384
106,2.384
107,2.384
108,2.384
109,2.384
110,2.384
111,2.384
112,2.384
113,2.384
114,2.384
115,2.384
116,2.384
117,2.384
118,2.384
119,2.384
120,2.384
121,2.384
122,2.384
123,2.384
124,2.384
125,2.384
126,2.384
127,2.384
128,2.384
129,2.384
130,2.384
131,2.384
132,2.384
133,2.384
134,2.384
135,2.384
136,2.384
137,2.384
138,2.384
139,2.384
140,2.384
141,2.384
142,2.384
143,2.384
144,2.384
145,2.384
146,2.384
147,2.384
148,2.384
149,2.384
150,2.384
151,2.384
152,2.384
153,2.384
154,2.384
155,2.384
156,2.384
157,2.384
158,2.384
159,2.384
160,2.384
161,2.384
162,2.384
163,2.384
164,2.384
165,2.384
166,2.384
167,2.384
168,2.384
169,2.384
170,2.384
171,2.384
172,2.384
173,2.384
174,2.384
175,2.384
176,2.384
177,2.384
178,2.384
179,2.384
180,2.384
181,2.384
182,2.384
183,2.384
184,2.384
185,2.384
186,2.384
187,2.384
188,2.384
189,2.384
190,2.384
191,2.384
192,2.384
193,2.384
194,2.384
195,2.384
196,2.384
197,2.384
198,2.384
199,2.384
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
